tree_cover,nbart_blue_temporal_median,nbart_blue_temporal_std,nbart_blue_focal_mean,nbart_blue_focal_std,nbart_green_temporal_median,nbart_green_temporal_std,nbart_green_focal_mean,nbart_green_focal_std,nbart_red_temporal_median,nbart_red_temporal_std,nbart_red_focal_mean,nbart_red_focal_std,nbart_red_edge_1_temporal_median,nbart_red_edge_1_temporal_std,nbart_red_edge_1_focal_mean,nbart_red_edge_1_focal_std,nbart_red_edge_2_temporal_median,nbart_red_edge_2_temporal_std,nbart_red_edge_2_focal_mean,nbart_red_edge_2_focal_std,nbart_red_edge_3_temporal_median,nbart_red_edge_3_temporal_std,nbart_red_edge_3_focal_mean,nbart_red_edge_3_focal_std,nbart_nir_1_temporal_median,nbart_nir_1_temporal_std,nbart_nir_1_focal_mean,nbart_nir_1_focal_std,nbart_nir_2_temporal_median,nbart_nir_2_temporal_std,nbart_nir_2_focal_mean,nbart_nir_2_focal_std,nbart_swir_2_temporal_median,nbart_swir_2_temporal_std,nbart_swir_2_focal_mean,nbart_swir_2_focal_std,nbart_swir_3_temporal_median,nbart_swir_3_temporal_std,nbart_swir_3_focal_mean,nbart_swir_3_focal_std,EVI_temporal_median,EVI_temporal_std,EVI_focal_mean,EVI_focal_std,NDVI_temporal_median,NDVI_temporal_std,NDVI_focal_mean,NDVI_focal_std,GRNDVI_temporal_median,GRNDVI_temporal_std,GRNDVI_focal_mean,GRNDVI_focal_std,y,x,tile_id,year
1.0,-999.0,0.0,-591.70374,538.66705,-999.0,0.0,-559.8025,580.48175,-999.0,0.0,-569.9136,566.4819,-999.0,0.0,-490.49384,672.1579,-999.0,0.0,-259.07407,979.22626,-999.0,0.0,-205.45679,1051.4233,-999.0,0.0,-180.03703,1086.5253,-999.0,0.0,-148.37038,1127.0541,-999.0,0.0,-288.62964,938.9219,-999.0,0.0,-465.8642,701.9694,0.0,0.0,0.6222822,0.8279094,0.0,0.0,0.22204816,0.29588467,0.33333334,8.940697e-08,0.4518965,0.15876201,6089975.0,702025.0,g2_017_binary_tree_cover_10m,2020
1.0,233.0,100.22671,-50.734566,399.90643,328.0,90.1084,22.90741,430.9177,307.0,103.341774,-1.9382697,421.0923,523.0,115.23418,179.10495,498.2144,1229.0,113.27068,710.01855,722.1372,1371.0,126.40407,830.9136,773.013,1510.0,147.4307,886.3642,796.0141,1527.0,138.12148,950.2654,825.1634,1081.0,190.48189,625.64197,689.7164,573.0,106.02659,230.88889,521.27026,1.8561983,0.40780777,1.4621376,0.62431663,0.6567083,0.06649128,0.5173562,0.2184228,0.6905553,0.03538747,0.6073407,0.11579744,6089965.0,702065.0,g2_017_binary_tree_cover_10m,2020
1.0,209.0,102.27086,215.44444,6.928456,294.0,98.400856,310.88272,10.28096,258.0,117.20494,273.18518,12.852927,499.0,120.10932,506.19754,13.393769,1165.0,104.424736,1198.0988,29.50478,1321.0,143.23143,1354.8518,26.967022,1380.0,181.79068,1422.5864,36.89406,1476.0,164.47937,1505.7902,35.87841,1063.0,214.76143,1071.2407,32.667263,573.0,122.1436,568.5123,18.382786,1.8819423,0.46601528,1.9160051,0.07073078,0.68125,0.0786453,0.6733096,0.011734028,0.68791944,0.039886374,0.6883369,0.0045017027,6089975.0,702095.0,g2_017_binary_tree_cover_10m,2020
1.0,207.0,138.57297,217.74692,10.556954,314.5,151.52173,323.30865,18.601572,254.5,170.2359,278.88272,17.957296,524.5,202.59677,527.8395,37.92198,1264.5,212.945,1252.5679,77.13733,1416.0,249.01265,1410.0432,96.35816,1479.5,217.31236,1479.5618,101.1482,1559.0,275.80908,1565.6729,105.019035,1045.5,305.1716,1091.9321,72.73903,536.0,255.30858,581.14197,43.733364,1.969251,0.47844318,1.9000243,0.06368745,0.7099923,0.094562426,0.68024063,0.009886142,0.69707835,0.046749562,0.6891063,0.005152637,6089965.0,702145.0,g2_017_binary_tree_cover_10m,2020
1.0,222.5,220.06429,221.70988,11.028664,339.0,220.99371,334.78397,18.343374,286.0,240.23245,286.06174,18.927784,535.5,252.01346,548.5926,36.42902,1284.0,247.60316,1295.2716,67.07846,1431.5,261.222,1457.5741,92.89076,1525.0,261.13586,1532.6296,100.85412,1583.5,280.4114,1618.6296,100.8829,1081.0,327.96094,1119.1975,79.16798,561.0,272.54428,595.5926,50.271,1.9395856,0.41875216,1.8892426,0.050289188,0.67345846,0.098076805,0.68414277,0.0076417876,0.683045,0.04787803,0.6896822,0.005594991,6089975.0,702175.0,g2_017_binary_tree_cover_10m,2020
1.0,223.5,112.752785,224.1358,11.329388,335.5,103.91447,339.87656,17.717571,297.0,125.278625,298.3642,24.72625,555.5,124.19808,563.9692,33.56012,1294.0,107.03607,1305.5371,42.182323,1433.0,135.30954,1451.5247,45.391773,1496.0,161.23808,1523.8148,61.37093,1594.5,151.50197,1613.8889,56.524982,1137.5,218.9933,1157.2778,83.83702,608.0,133.60806,626.4877,61.37328,1.8458622,0.34594557,1.8223608,0.108124465,0.6696376,0.07800556,0.6709406,0.016230699,0.68901455,0.037764255,0.68641275,0.0059177405,6089975.0,702235.0,g2_017_binary_tree_cover_10m,2020
1.0,223.5,112.59269,219.25308,12.290543,348.5,108.042534,332.1605,18.536402,302.5,129.62167,288.51852,26.140549,544.0,157.505,550.20374,34.329823,1233.0,154.51422,1285.753,50.985764,1362.5,183.22255,1423.6234,61.70074,1495.5,155.9176,1493.5864,77.46965,1508.5,201.37767,1578.6729,75.0339,1118.0,243.82297,1118.9073,92.061386,599.5,177.72768,602.7531,63.6242,1.7354852,0.32064936,1.8592786,0.11492247,0.6654871,0.075372316,0.6752131,0.0151186315,0.68442535,0.03583964,0.6866523,0.0052572526,6089965.0,702265.0,g2_017_binary_tree_cover_10m,2020
1.0,213.5,122.50712,217.09877,9.264156,319.5,110.082565,326.61728,11.598515,269.5,126.785095,273.80865,16.77991,515.5,126.51946,538.82715,25.576136,1244.5,104.78423,1273.0802,38.31093,1371.5,141.1577,1406.037,46.529095,1427.0,162.3483,1461.7963,57.581036,1518.5,149.957,1553.4877,53.435474,1002.0,203.53746,1064.7839,70.393326,520.5,133.8138,565.605,48.286686,2.0173254,0.48304662,1.9378694,0.08726665,0.6848202,0.083510496,0.68331575,0.013419463,0.6886396,0.040996227,0.6842798,0.005688244,6089975.0,702305.0,g2_017_binary_tree_cover_10m,2020
1.0,213.5,108.24013,235.82098,24.805727,327.5,91.59004,358.94446,43.187504,262.5,104.67779,308.28397,58.282913,524.0,103.92138,590.6111,104.86852,1274.5,89.161934,1361.2346,148.96127,1431.0,115.40115,1507.4073,156.77275,1535.0,114.07672,1574.821,153.06915,1557.5,126.55779,1664.0432,174.8753,978.5,176.84212,1129.142,168.95526,508.0,111.87505,608.30865,111.55425,1.9965196,1.3636559,1.9268806,0.1412377,0.7019135,0.081142195,0.67891127,0.023598818,0.6900116,0.04267138,0.68246084,0.007307597,6089975.0,702335.0,g2_017_binary_tree_cover_10m,2020
1.0,421.5,101.52341,261.74692,89.961754,616.5,107.93902,397.4321,144.41576,641.0,158.58035,358.48764,179.50078,933.0,121.343575,642.87036,185.14912,1707.0,168.10037,1427.2593,213.16988,1859.0,194.85773,1591.5432,214.09433,2386.5,203.48645,1684.7902,339.01544,2069.5,186.46152,1770.0062,228.85606,1533.5,233.57707,1193.4814,244.48625,857.5,162.00993,648.4506,161.9743,1.2959294,0.27615064,1.8534883,0.33975068,0.56716895,0.077423684,0.66389114,0.066277236,0.6555538,0.02839106,0.6789716,0.02662347,6089985.0,702385.0,g2_017_binary_tree_cover_10m,2020
